area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,lq_disclosure_code,oty_disclosure_code,variable,value
39049,5,323120,78,0.0,2020,1,0,0,0,qtrly_estabs,6.0
39049,5,324,75,0.0,2020,1,0,0,0,qtrly_estabs,11.0
39049,5,3241,76,0.0,2020,1,0,0,0,qtrly_estabs,11.0
39049,5,32411,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,324110,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32412,77,0.0,2020,1,0,0,0,qtrly_estabs,8.0
39049,5,324121,78,0.0,2020,1,N,N,N,qtrly_estabs,4.0
39049,5,324122,78,0.0,2020,1,N,N,N,qtrly_estabs,4.0
39049,5,32419,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,324191,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,325,75,0.0,2020,1,0,0,0,qtrly_estabs,62.0
39049,5,3251,76,0.0,2020,1,0,0,0,qtrly_estabs,8.0
39049,5,32512,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,325120,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,32513,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,325130,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32518,77,0.0,2020,1,0,0,N,qtrly_estabs,5.0
39049,5,325180,78,0.0,2020,1,0,0,N,qtrly_estabs,5.0
39049,5,32519,77,0.0,2020,1,-,N,N,qtrly_estabs,0.0
39049,5,325199,78,0.0,2020,1,-,N,N,qtrly_estabs,0.0
39049,5,3252,76,0.0,2020,1,0,0,0,qtrly_estabs,6.0
39049,5,32521,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,325211,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,325212,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32522,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,325220,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,3253,76,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32531,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,325311,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3254,76,0.0,2020,1,0,0,0,qtrly_estabs,19.0
39049,5,32541,77,0.0,2020,1,0,0,0,qtrly_estabs,19.0
39049,5,325411,78,0.0,2020,1,0,0,N,qtrly_estabs,3.0
39049,5,325412,78,0.0,2020,1,0,0,N,qtrly_estabs,16.0
39049,5,3255,76,0.0,2020,1,0,0,0,qtrly_estabs,17.0
39049,5,32551,77,0.0,2020,1,0,0,0,qtrly_estabs,13.0
39049,5,325510,78,0.0,2020,1,0,0,0,qtrly_estabs,13.0
39049,5,32552,77,0.0,2020,1,0,0,0,qtrly_estabs,4.0
39049,5,325520,78,0.0,2020,1,0,0,0,qtrly_estabs,4.0
39049,5,3256,76,0.0,2020,1,N,N,N,qtrly_estabs,4.0
39049,5,32561,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,325611,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,325612,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32562,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,325620,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3259,76,0.0,2020,1,0,0,0,qtrly_estabs,7.0
39049,5,32591,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,325910,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32599,77,0.0,2020,1,N,N,N,qtrly_estabs,6.0
39049,5,325991,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,325998,78,0.0,2020,1,0,0,0,qtrly_estabs,5.0
39049,5,326,75,0.0,2020,1,0,0,0,qtrly_estabs,46.0
39049,5,3261,76,0.0,2020,1,0,0,0,qtrly_estabs,41.0
39049,5,32611,77,0.0,2020,1,0,0,0,qtrly_estabs,8.0
39049,5,326111,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,326112,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,326113,78,0.0,2020,1,N,N,N,qtrly_estabs,6.0
39049,5,32612,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,326121,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,32613,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,326130,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,32614,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,326140,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32615,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,326150,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,32616,77,0.0,2020,1,0,0,0,qtrly_estabs,8.0
39049,5,326160,78,0.0,2020,1,0,0,0,qtrly_estabs,8.0
39049,5,32619,77,0.0,2020,1,0,0,0,qtrly_estabs,16.0
39049,5,326199,78,0.0,2020,1,0,0,0,qtrly_estabs,16.0
39049,5,3262,76,0.0,2020,1,0,0,0,qtrly_estabs,5.0
39049,5,32621,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,326211,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,326212,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,32622,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,326220,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,32629,77,0.0,2020,1,-,N,N,qtrly_estabs,0.0
39049,5,326299,78,0.0,2020,1,-,N,N,qtrly_estabs,0.0
39049,5,327,75,0.0,2020,1,0,0,0,qtrly_estabs,41.0
39049,5,3271,76,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32712,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,327120,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3272,76,0.0,2020,1,N,N,N,qtrly_estabs,9.0
39049,5,32721,77,0.0,2020,1,N,N,N,qtrly_estabs,9.0
39049,5,327215,78,0.0,2020,1,N,N,N,qtrly_estabs,9.0
39049,5,3273,76,0.0,2020,1,0,0,0,qtrly_estabs,18.0
39049,5,32731,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,327310,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32732,77,0.0,2020,1,0,0,0,qtrly_estabs,12.0
39049,5,327320,78,0.0,2020,1,0,0,0,qtrly_estabs,12.0
39049,5,32733,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,327331,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,327332,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,32739,77,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,327390,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,3279,76,0.0,2020,1,0,0,0,qtrly_estabs,13.0
39049,5,32791,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,327910,78,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,32799,77,0.0,2020,1,N,N,N,qtrly_estabs,11.0
39049,5,327991,78,0.0,2020,1,N,N,N,qtrly_estabs,7.0
39049,5,327993,78,0.0,2020,1,0,0,0,qtrly_estabs,4.0
39049,5,331,75,0.0,2020,1,0,0,0,qtrly_estabs,11.0
39049,5,3311,76,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,33111,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,331110,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3312,76,0.0,2020,1,0,0,0,qtrly_estabs,4.0
39049,5,33122,77,0.0,2020,1,0,0,0,qtrly_estabs,4.0
39049,5,331221,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,331222,78,0.0,2020,1,N,N,N,qtrly_estabs,3.0
39049,5,3313,76,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,33131,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,331314,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,331318,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3314,76,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,33149,77,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,331491,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,331492,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,3315,76,0.0,2020,1,N,N,N,qtrly_estabs,2.0
39049,5,33151,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,331513,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,33152,77,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,331524,78,0.0,2020,1,N,N,N,qtrly_estabs,1.0
39049,5,332,75,0.0,2020,1,0,0,0,qtrly_estabs,140.0
39049,5,3321,76,0.0,2020,1,0,0,0,qtrly_estabs,6.0
